name_comment,rating,time,review
anh quoc,5 stars,5 years ago,"Trong suốt những năm qua, danh tiếng của Bệnh viện Hồng Ngọc gắn liền với những dịch vụ y tế cao cấp. Đến với  benh-vien-hong-ngoc-4Hồng Ngọc, khách hàng không chỉ có cơ hội được thăm khám và chữa bệnh trực tiếp bởi đội ngũ giáo sư, bác sĩ giàu kinh nghiệm cả trong và ngoài nước mà còn có dịp trải nghiệm không gian khám chữa bệnh lý tưởng với hệ thống trang thiết bị hiện đại nhất từ một bệnh viện mang thương hiệu đẳng cấp cao.

Tọa lạc tại 55 Yên Ninh, tòa nhà trụ sở chính cao 16 tầng của Bệnh viện Đa khoa Hồng Ngọc có tới 14 tầng được thiết kế dành cho công tác khám, chữa bệnh, điều dưỡng, ăn uống và spa, thẩm mỹ nhằm phục vụ tối đa nhu cầu của khách hàng từ kiểm tra sức khỏe cho tới ẩm thực, nghỉ dưỡng và làm đẹp. Do đó, khách hàng sẽ được chăm sóc sức khỏe một cách toàn diện nhất khi đến với bệnh viện Hồng Ngọc .

Dịch vụ y tế hoàn hảo
Điểm nổi bật làm nên thương hiệu cho Bệnh viện Đa khoa Hồng Ngọc được biểu hiện ở tính tổng thể và toàn diện trong quy trình khám chữa bệnh từ bước thăm khám, điều trị cho tới hồi phục chức năng, chăm sóc điều dưỡng, spa, nhà hàng. Theo đó, bệnh viện không chỉ cung cấp dịch vụ y tế mà còn phục vụ nhu cầu ăn uống, nghỉ dưỡng và làm đẹp của khách hàng. Điều này là nhân tố tạo nên sự khác biệt hoàn toàn giữa Hồng Ngọc với những bệnh viện khác.
dich-vu-y-te-hoan-haoiNgoài trụ sở chính ở Yên Ninh, Bệnh viện Đa khoa Hồng Ngọc còn có hai cơ sở mới tại khu đô thị cao cấp Keangnam Hanoi Landmark Tower và Trung tâm Thương mại Savico Megamall với hệ thống phòng khám sang trọng, đẳng cấp theo tiêu chuẩn châu Âu luôn tràn ngập không khí vui tươi, niềm nở của đội ngũ y bác sĩ và nhân viên y tế nhiệt tình, tận tâm với công việc.

Hướng đến sự hoàn hảo nhất trong chất lượng, bệnh viện Hồng Ngọc là đại diện tiêu biểu cho một cơ sở y tế toàn diện với sự kết hợp 3 trong 1 của các yếu tố công nghệ – con người – dịch vụ. Theo đó, bên cạnh việc tuyển chọn và phát triển nhân lực là những y bác sĩ giàu kinh nghiệm, chuyên môn cao, Hồng Ngọc còn đầu tư vào hệ thống cơ sở vật chất cùng trang thiết bị ứng dụng công nghệ tiên tiến nhất với mục tiêu tiếp cận nhanh, chẩn đoán chính xác, điều trị kịp thời. Đi kèm với đó là hàng loạt dịch vụ y tế và chăm sóc sức khỏe trọn gói chất lượng cao, nhằm đáp ứng tối đa nhu cầu của mọi khách hàng.

Đối tác y tế tin cậy
Sẽ là thiếu sót lớn nếu không nhắc đến hoạt động hợp tác y tế quốc tế của Bệnh viện Hồng Ngọc với các đối tác nước ngoài. Với mong muốn mang đến thật nhiều cơ hội điều trị bằng các phương pháp y học hiện đại nhằm đáp ung nhu cầu khám chữa bệnh ngày càng cao của khách hàng, bệnh viện Hồng Ngọc đã không mừng mở rộng hợp tác y tế cùng nhiều trung tâm, bệnh viện danh tiếng trên thế giới.
Ở đây, có thể kể đến các chương trình hợp tác quốc tế của bệnh viện Hồng Ngọc như khám di cư quốc tế (Tổ chức Di cưdoi-tac-y-te-tin-cay Quốc tế IOM); thẩm mĩ Hàn Quốc bằng công nghệ cao (Viện thẩm mỹ Allforskin, Gaga, Samsung…); hợp tác Thái Lan trong điều trị vô sinh hiếm muộn (bệnh viện Samitivej và Phyathai2); hợp tác Thái Lan, Nhật Bản và Hàn Quốc trong điều trị ung thư (Tập đoàn y tế IMS và bệnh viện Shonan Medical Memorial Hospital Nhật Bản, bệnh viện Kyungpook và Daegu Fatima Hàn Quốc, bệnh viện BNH Thái Lan); hợp tác chuyển giao công nghệ và đào tạo, trao đổi bác sĩ (Bệnh viện Changhua Đài Loan, Bệnh viện Fatima Hàn Quốc) cùng nhiều chương trình hợp tác quốc tế khác.

Với phương châm mang đến các dịch vụ y tế chất lượng cao, an toàn, hiệu quả và thân thiện, Bệnh viện đa Khoa Hồng Ngọc đã không ngừng nỗ lực hoàn thiện nhằm đáp ứng và làm hài lòng mọi nhu cầu của khách hàng. Là một trong những Bệnh viện đa khoa uy tín nhất Hà Nội hiện nay, chúng tôi đã, đang và sẽ luôn cung cấp dịch vụ chăm sóc sức khỏe hoàn hảo nhất, xứng danh là “Nơi gửi trọn niềm tin” của quý khách."
Cao Huong,5 stars,4 months ago,
Aliya Larson,5 stars,4 months ago,
Kien Ho,5 stars,5 months ago,
Anh Do,5 stars,5 months ago,"Mình khám ở đây thấy tiện lắm, nhanh tới lượt khám và làm các xét nghiệm cũng nhanh, đỡ mất thời gian. Thuốc các bác sỹ kê cũng toàn thuốc tốt nên uống đỡ lắm."
Minh hoang,2 stars,7 months ago,"K đáng so với chi phí bỏ ra
Cháu nhà mình vào từ 16:30 hôm trước đến 15:30 hôm sau về lại tính là 2 ngày mỗi ngày 1,5tr tiền phòng chưa tính chi phí khác
Phòng thì chật tầng 1,2 bình phong lên tầng 7 hôi hám k chịu nổi ..."
Minh Thu,5 stars,4 months ago,"Khoa nhi ở bệnh viện thật sự rất biết cách làm cho các bạn nhỏ hợp tác, bs khám nhẹ nhàng, bé nhà mình chẳng sợ gì, còn hợp tác theo hướng dẫn của bs và y tá. Thật sự thấy yên tâm khi qua đây khám."
Minh Thu,5 stars,4 months ago,"Nhân viên lễ tân thân thiện, hỗ trợ hướng dẫn tận tình bệnh nhânh"
Sang Nguyen,5 stars,5 months ago,
Thy Võ Thị Anh,5 stars,2 months ago,"Thăm khám khá nhanh, thủ tục nhanh. Thích nhất là khám xong trong lúc chờ kết quả thì lên nhà hàng ăn sáng."
Anh Duc Nguyen,2 stars,6 months ago,"Bệnh viện tư mà hách dịch không khác gì bệnh viện công. Bác sỹ nhi khám qua loa, chỉ chăm chăm bôi ra cho con đi xét nghiệm. Có kết quả Xét nghiệm xong cả bác sỹ + y tá chạy đi đâu hết. Bắt khách chờ cả tiếng đồng hồ cũng không thấy đâu, không biết hỏi ai ngoài bảo vệ và nhân viên thu tiền ngoài quầy thuốc. Nói chung là tốn tiền, tốn thời gian."
Nguyên Thanh,2 stars,a year ago,"Thật sự không hề hài lòng.
Mình đi khám tiền đình( hoa mắt, chóng mặt đi đứng lảo đảo, thiếu ngủ mệt vô cùng, mỏi vai gáy do thoái hoá)
1.Do mỏi cơ bs khu lâm sàng bắt làm xn PCR do coa mỏi cơ, mình có nói do bị đau cô vai gay là tiền sử nên nó mỏi ở vùng cơ đó năm ngoài cùng thời điểm cũng đã nằm viện 3 tháng coa thể kiểm tra lại,cả tháng chỉ ở nhà làm onl tại nhà chỉ tx với ng nhà là nhân viên bệnh viện vẫn đang đi làm, tuy nhiên bs không hề quan tâm đến tình trạng mệt mỏi của bệnh nhân, cũng k hề nghe lời bn nói nằng nặc đòi làm PCR bảo do quy định vì khai báo y tế như vậy. Mình tức quá quát ầm lên vậy để khai báo y tế lại rồi bắt ký cam kết này nọ, trạng thái bnhan mệt mỏi đi không vững k ai quan tâm đỡ hay hỏi cần đi xe đẩy không bắt bnhan chờ đợi nóng nôi, đến khi phải lấy phiếu sàng lọc sang khu thường đỡ phải chờ đợi y ta bên đấy lại hỏi tsao phải viết cam kết như này như nọ, bắt bẻ bắt phải sang xin chữ ký bs mình tức quá bảo chị có biết e đi khám gì không? Bnhan tiền đình mà bắt đi đi lại lại giữa 2 bên đây là cách làm việc bv đấy à, thì bắt đầu y tá mới cầm tờ giấy đó sang bên khu sàng lọc để xin lại chữ ký bs.-> cảm thấy không có tí chuyên nghiệp nào ở bs cũng như y tá. Chắc chưa đóng tiền gì nên chưa phải bnhan thuộc diện quan tâm. Khu chờ đợi thì nóng, tồi tàn.
2.Sau khi vào khám được nằm tại tầng 6, phòng thì phòng có cửa sổ nên vô cùng nóng từ lúc 12h trưa đến 4h chiều ánh nắng chiếu thẳng phòng mà để điều hoà auto 25 độ. Thật sự nằm điều hoà mà như tra tấn. Đên lúc phải phản ánh thì mới có ng đến chỉnh xuống để nhiệt độ thấp nhất là 23 độ nhưng phải đóng kín cửa và mượn thêm 1 cái quạt nữa chứ k thì k chịu được. Do bv đang sửa chữa mà tiền đình cần yên tình nên chấp nhận ở phòng này vì sang khu khác rất ồn.
3. Y tá đi dùng thuốc lúc 21h không hỏi luôn và cho ký ghế người nhà, mình bị mất ngủ khá nặng nên phải uống 2 viên seduxen + 2 viên rotunda và nhờ ng nhà hỗ trợ massa vùng cổ vai gái may ra mới có thể ngủ được. Ấy thế mà hơn 22h mới tắt điện thiếp đi ngủ được 1 chút thì y tá mở cửa làm cái rầm bảo ký ghê người nhà. Đùa không còn gì để nói. Vậy là mất ngủ nguyên đêm không thể ngủ và nửa đêm phải gọi để lấy thuốc giảm đau vì quá đau đầu 🤕. Chờ bs chỉ định do mình uống efferalgan codeine nên chờ lĩnh thuốc. 1 lúc sau y tá mang thuốc vào với 1 cốc thuốc đầy 150ml hay 200ml gì đó. Thề là phát điên. Thuốc bình thường uống nhiều thành sợ mà cho uống 1 cốc như vậy đấy.-> cuối cùng sáng hôm sau mới ký ghế ng nhà và bnhan mệt mỏi mất ngủ cả đêm. Không hiểu tận tâm là ở đâu. K lẽ bỏ ra đống tiền nằm viện lại trốn nợ 150k à.
4. Cũng k ăn được gì nhiều nhưng thực sự thực đơn vô cũng là giản dị, đôi khi không biết nên ăn gì hay có nên bỏ luôn k.
5.Thanh toán viện phí: lễ tân ngoài lẫn thu ngân bên trong vô cùng thái độ, mình có xem tờ bhyt nhưng k may nó rơi xuống khe trong quầy thanh toán,lúc sau mới nhớ ra để lấy lại thẻ hỏi lại lễ tân thì bị gắt lên. Chị đưa cho e rồi đấy r cầm rồi còn gì( chứ không hề nhẹ nhàng hỏi bnhan chị đã cất đi chưa hay đi tìm, đợi đến lúc mình nói cho mới đi ngó vào trong để tìm) -> thái độ với khách thật sự khiến mình bất ngờ ngơ ngác ngã ngửa
-> mình lựa chọn vào đây chỉ vì do có khoa vật lí trị liệu và người nhà làm tại bv nhưng thật sự khiến mình càng quá thất vọng. Cho ** vì 1 khoa vltl và 1 số những anh chị y tá khác vô cùng hỗ trợ bnhan."
Cao Dieu,5 stars,5 months ago,"Mình rất ấn tượng với đội y tá ở đây, các em ý rất tốt bụng và nhiệt tình, hỗ trợ mình và người nhà không nề hà gì cả. Rất ưng ý tính chuyên nghiệp của bệnh viện này."
Hoa Ly,5 stars,5 months ago,"Bệnh viện rộng rãi, sạch sẽ lắm, sảnh chờ còn có khu sạch pin hiện đại, đội ngũ y bác sỹ có chuyên môn cao, khám và tư vấn nhiệt tình."
Kiều Bá,5 stars,5 months ago,"Ở bệnh viện Hồng Ngọc y tá và bác sỹ hỏi thăm và hỗ trợ bệnh nhân, người nhà tận tình lắm, mình thấy khám ở đây thoải mái, không phải chờ lâu."
Phi Lu,5 stars,5 months ago,"Bệnh viện tư nhân nên rất tốt về phần dịch vụ, bác sỹ y tá đều nhẹ nhàng và thân thiện, khám và làm các xét nghiệm nhanh."
huynh ngoc,5 stars,a month ago,"Dịch vụ rất tốt, bác sĩ và y tế giỏi cũng như rất tận tình. Tôi cảm thấy rất hài lòng"
Kim Thuy,5 stars,4 months ago,
Mai Tre,5 stars,5 months ago,"Bệnh viện to đẹp, cơ sở trang thiết bị còn mới, khám nhanh đến lượt, có hiệu thuốc tại bệnh viện luôn nên tiện lắm."
Cao Duyen,5 stars,4 months ago,"Bệnh viện ok nhất trong các bệnh viện tư, mình thấy khám ở đây thoải mái, nhanh đến lượt, thuốc tốt, uống vài hôm mìn thấy đỡ rồi."
Xuan Bui,5 stars,5 months ago,
Loi Tran,5 stars,5 months ago,"Bệnh viện nhiều trang thiết bị hiện đại, cho kết quả chính xác và nhanh, mình luộ chọn Hồng Ngọc khi chẳng may bị ốm."
Như Quỳnh Phạm,1 star,6 months ago,
Hiền Nguyễn Thị Diệu,5 stars,4 months ago,
Phạm Trúc Lan,5 stars,3 months ago,
Nga Ngô Mỹ,5 stars,5 months ago,Thi thoảng cũng dẫn người nhà qua khám hoặc bản thân cũng qua khám ở đây nhiều lần. Cảm thấy hài lòng với dịch vụ tại đây.
Minh Quan,5 stars,4 months ago,
Mai Nguyễn Trúc,5 stars,6 months ago,
Bá Thắng,5 stars,5 months ago,"Dịch vụ khám bệnh ở đây ok nhé, các y tá hướng dẫn tận tình, bác sỹ khám kỹ."
Samuel Cook,5 stars,4 months ago,"Y tá và bác sỹ có tâm, hỏi han và tư vấn khá kỹ. Dùng thuốc mấy hôm là đỡ nhiều rồi."
Dung Dang,5 stars,4 months ago,
Minh Hung,5 stars,4 months ago,
Thai Dam,5 stars,4 months ago,"Bệnh viện khám chữa ok đó mn ah, bác sỹ khám có tâm, hỏi cặn kẽ lắm, thuốc tốt."
Binh van,5 stars,4 months ago,"Mặc dù giá hơi mắc chút nhưng mình thấy khá hợp lý, đổi lại mình được khám kỹ và kết quả xét nghệm có khá nhanh, chắc do máy móc hiện đại nên cho kết quả nhanh lắm"
Hồng Diệu Đoàn,5 stars,3 months ago,"An tâm khi vào đây, mỗi lần ốm hoặc cần khám gì thì mình đều vào Hồng Ngọc"
Phan Lê,5 stars,4 months ago,"Không có gì để chê, từ nhân viên, cơ sở vật chất đến quy trình làm bảo hiểm..."
Kelvin Dang,5 stars,4 months ago,"Bệnh viện mà hơn cả khách sạn. Phòng sạch sẽ, đầy đủ tivi, tủ lạnh, nhà hàng sang xịn."
No Fate,2 stars,5 months ago,
Tri Doan,5 stars,5 months ago,"Bệnh viện rộng, đầy đủ các chuyên khoa, quy tụ toàn các bác sỹ giỏi, nhà mình mua bảo hiểm nhân thọ nên chọn Hồng Ngọc khám cho sướng, được phục vụ nhiệt tình lắm."
Bùi Vinh,5 stars,4 weeks ago,"Nhân viên hướng dẫn nhiệt tình, y bác sỹ chuyên môn cao."
Diva Võ,5 stars,4 months ago,"Đúng là có $ thì nên vào viện tư, một lần phẫu thuật trong viện công mà tởn tới già. Vào hồng ngọc họ chăm sóc từng tý một."
Trong Quyet,5 stars,5 months ago,
Thảo Lê Trần Phương,5 stars,4 months ago,"Bỏ thêm ít tiền vào Hồng Ngọc, hơn gấp nhiều nhiều lần chen chúc nhau vào mấy cái bv công. Vào Xanh Pôn 1 lần mà khiếp vía."
Khoa Nguyen,5 stars,5 months ago,"Đi vào bệnh viện mà như đi khách sạn á mọi người, rộng và đẹp, vào sảnh được lễ tân và các y tá hỗ trợ hướng dẫn nhiệt tình, khám chữa nhanh, không phải chờ lâu như ở viện công đâu."
Giang Hong,5 stars,4 months ago,"Đội y tá hỗ trợ nhiệt tình, bác sỹ khám có chuyên môn cao, mình qua khám ở đây thấy nhanh, đỡ mất thời gian chờ đợi."
Hao Dang,5 stars,5 months ago,
Ly Nguyễn Thị Hương,5 stars,4 months ago,"Xử lý bảo hiểm trong nốt nhạc. Ký là xong, ko phải lằng nhằng nhiều như các bên khác"
Lu Duong,5 stars,3 months ago,Hiếm thấy bệnh viện nào có cái nhà hàng đẹp và ngon như trong 1 khách sạn vậy
Thảo Mai Phương,5 stars,4 months ago,"Bệnh viện hiện đại, chăm sóc tốt, có nhà hàng sạch đẹp, đồ ăn ngon."
Giang Huyen,5 stars,5 months ago,"Bệnh viện sang trọng, sạch sẽ, khám nhiệt tình, hỏi chi tiết lắm, ok nhé mn"
Nguyễn Thảo Anh,5 stars,3 months ago,
LE TRAN QUYNH,1 star,a year ago,"Dịch vụ tồi tệ nhất mà tôi biết! Họ tính phí xét nghiệm PCR Covid bình thường là 790,000. Và ưu đãi đặc biệt là 948,000 nếu bạn đến vào lúc 16h50. Vì từ 16h50 được tính là ngoài giờ theo quy định của bệnh viện 😪 …"
Linh Nguyễn Thị Thùy,5 stars,4 months ago,"Làm thủ tục nhanh gọn, chỉ việc ký, trước khi xuất viện bv làm cho hết luôn."
은혜 금,5 stars,4 months ago,"Bệnh viện sạch sẽ thiết kế sang trọng, khám chữa nhiệt tình, giá cả mình thấy như thế là phù hợp."
Châu Văn Xuân,5 stars,3 months ago,
Doan Nguyễn,5 stars,2 months ago,
Trường Charlie,5 stars,a year ago,"Cũng ok, kỷ niệm đẹp duy nhất tại đây là mình âm tính và những người test PCR hôm đó cũng âm tính, cảm ơn bác sĩ và đội ngũ y tế bệnh viện rất nhiều! Chúc tất cả mọi người đều mạnh khỏe!"
Hong Tuyen Dinh,2 stars,9 months ago,"- máy móc hiện đại
- nhân viên tận tình
- bệnh viện đông bệnh nhân mà cơ sở tại Yên Ninh quá bé nên tiếp đón nhộn nhạo, ồn ào.
- bác sỹ phần đông là trẻ và thiếu kinh nghiệm (do thiếu nhân lực?), vì vậy giá dịch vụ khám chữa bệnh là quá cao nếu xét về khía cạnh chất lượng chuyên môn của bác sỹ.
Ví dụ: Bác sỹ siêu âm mới 24 tuổi. Bác sỹ mắt thông lệ đạo làm đau bệnh nhân, làm nhiều lần mà vẫn ko thông được, sau chỉ định mổ để đặt ống thấy lệ đạo bằng silicon. Sau đó bệnh nhân lên viện mắt trung ương thông lại được luôn mà không đau."
Vang Di,5 stars,4 months ago,"Nhân viên chuyên nghiệp lịch sự, bác sỹ khám kỹ và có chuyên môn cao."
Jen Hair Lina,1 star,6 months ago,"thời gian chờ quá lâu trong khi ko hề đông bệnh nhân, chi phí quá cao. Vào viện công khoa khám theo yêu cầu còn thích hơn và nhanh hơn vào Hồng Ngọc. Trải nghiệm khám chữa kém nhất trong các nơi tôi từng đi ở Hà Nội."
vvsdv dcds,4 stars,a year ago,
Minh Thu,5 stars,5 months ago,"Khoa nhi ở bệnh viện thật sự rất biết cách làm cho các bạn nhỏ hợp tác, bs khám nhẹ nhàng, bé nhà mình chẳng sợ gì, còn hợp tác theo hướng dẫn của bs và y tá. Thật sự thấy yên tâm khi qua đây khám."
Minh Thu,5 stars,5 months ago,"Nhân viên lễ tân thân thiện, hỗ trợ hướng dẫn tận tình bệnh nhânh"
Do Fa,5 stars,4 months ago,Một trong những khách sạn tốt nhất mà mình đã sủ dụng. Đúng là đáng đồng tiền bát gạo.
Lê Thanh Việt,5 stars,4 weeks ago,
Trần Bảo Anh,5 stars,4 weeks ago,"Khám chữa nhanh, dịch vụ nhanh, chăm sóc bệnh nhân tốt."
Nguyen Toan,5 stars,4 months ago,"Bệnh viện có đội hỗ trợ bn chuyên nghiệp, khám chữa có tâm, hỏi han tận tình lắm."
Thanh Huyền Hoàng,5 stars,3 months ago,"Dịch vụ tốt, nhanh. Khám xong có phiếu lên nhà hàng ăn uống :))"
Anh Huỳnh Diệu,5 stars,4 months ago,"Nhân viên phục vụ tốt, phòng rộng rãi, sạch đẹp, có chọn món theo bữa bao gồm luôn"
Dung Le,5 stars,4 months ago,"Đắt chút nhưng được cái thoải mái, vào cai được phục vụ ngay và ân cần thăm hỏi"
Lê Bảo Thắng,5 stars,4 months ago,"Nhân viên ân cần, phục vụ nhanh và kịp thời hỗ trợ tốt cho bênh nhân và người nhà"
Hà Nguyễn Thị Thu,5 stars,3 months ago,"Nhân viên thân thiện, đi đến đâu cũng được chỉ dẫn cụ thể."
Chu Duc Minh,1 star,8 months ago,Thái độ Bác sĩ kém. Đi nội soi mà bắt làm một đống xét nghiệm để lấy tiền của bên bảo hiểm. Lởm. Thiếu đạo đức nghề nghiệp.
Phương Nguyễn,5 stars,3 months ago,Vào bệnh viện Hồng Ngọc mấy lần rồi và giờ thành bệnh nhân trung thành :))
Cao Thị Hồng Huệ,5 stars,4 weeks ago,
Thảo Phạm,5 stars,5 months ago,"Chăm sóc bệnh nhân tốt, vào ở nội trú mà không cần người thân đi chăm cùng."
Manh Truong,5 stars,5 months ago,"Bệnh viện rộng, thiết kế thoáng. Bác sỹ và y tá nhiệt tình, cẩn thận."
Minh Huyền Đào,5 stars,5 months ago,"Nằm viện từ hôm qua, may có các y bác sỹ chăm sóc nhiệt tình, nay cũng đỡ hơn rồi."
Pham Duyen,1 star,11 months ago,"Dịch vụ rất chán. Nhân viên không nhiệt tình. Bé nhà mình nhập viện 1 tuần ở đây đúng dịch nôn & tiêu chảy. Bé nôn các cô ném cho mấy cái khăn cho người nhà tự lau. Bé trớ ra giường phải thay ga gối nhiều thì các cô vào thay mặt sưng lên, hỏi ko nói. Ấn chuông cũng chẳng thấy cô nào vào. Ra gọi thì thấy 2 cô trực ở phòng, các cô còn bảo lại: ""Lần sau Mẹ ấn chuông gọi là được!""

Y tá thiếu kĩ thuật chuyên môn, kĩ năng giao tiếp: mình từng ở viện Thu Cúc, Nhi tw... các cô y tá ở đây rất đon đả. Gặp bệnh nhân đều hỏi cười, ở đây nhiều y tá gặp bệnh nhân (khách hàng) cũng chẳng hỏi đi thẳng ko thèm nhìn. Lấy ven truyền kháng sinh 2 lần cô vào kiểm tra ven vẫn lệch, tay bé sưng đẫn cứng đờ. Tình trạng tương tự em bé giường bên cạnh 5 tháng tuổi phải truyền nước 4 tiếng cũng bị lấy lệch ven, tay sưng nhìn rất thương.

Lại còn cái rất buồn cười: hỏi đây là thuốc gì có cô còn ú ớ, đọc tên thuốc còn lơ ngơ ko biết. Thuốc gì, có tác dụng như nào,... thì không biết.

Thêm cái khi thanh toán ra viện, mình xuống hỏi mấy cô bên tư vấn bảo hiểm (vì thấy nó ngay đầu sảnh vào) 2 cô ngồi góc bên trái không thèm trả lời. Mặc dù mình đứng lù lù ra đấy 1 lúc & hỏi lại những 2 lần. Sau có cô ra tiếp đón ( bụng bầu) thì chắc cũng hiểu bầu bí mệt. Nhưng các cô đã đi làm thì cũng cần có thái độ nice hơn với khách, cô ấy chỉ hất hàm ra hiệu mình ngồi đấy chờ và ko nói gì thêm. :) Có thể ở viện trông con 7 ngày nhìn đờ đẫn hoặc bề ngoài hơi phèn của mình nên không được tiếp đón tốt?

Bác sĩ ở đây thì mình thấy khá ok. Duy cái thấy các bác đi thăm hơi ít, các viện khác mình từng đi thấy các bác đi thăm hỏi thường xuyên hơn. Với, nhiều bác quá. Bản thân m thì muốn 1 bác đi xuyên suốt cùng con luôn để nắm được tình trạng con tốt hơn. Chứ dăm ba cái biên bản bàn giao cũng ko nằm hết được.

Nói chung cả mình & 2 mẹ từng ở cùng đều bảo: đây là lần đầu tiên & sau này sẽ không quay lại HN (chí ít là ở cơ sở Yên Ninh nữa)"
Khoi Ta,5 stars,5 months ago,"Dịch vụ khám chữa bệnh tận tình chu đáo, giá phù hợp."
Quang Nguyễn,2 stars,8 months ago,"Không có bác sĩ nhưng k báo bệnh nhân, cho đi chụp chiếu xong, cứ ngồi đợi kết luận cả tối luôn. K có hướng dẫn hay giải thích gì thêm, bệnh nhân cứ sốt ruột ngồi từ 7h đến 9h tối k ai hỏi"
Ahee Kim,2 stars,5 years ago,
thanh phuong,5 stars,4 weeks ago,"Dịch vụ tốt , Bacs sĩ tận tình chu đáo 💕💕💕💕"
Dung Tran,5 stars,6 months ago,"Bệnh viện có chất lượng dịch vụ tốt, bác sĩ và nhân viên tận tình, quan tâm đến bệnh nhân"
Khánh Lê,5 stars,4 months ago,"Bệnh viện to đẹp, như khách sạn, dịch vụ chuẩn 5 sao."
Kristy Dickinson,5 stars,5 months ago,"Bệnh viện khang trang, to và rộng rãi lắm. Khám chữa nhanh và tận tình."
Bich Diễm,5 stars,5 months ago,"Bệnh viện to đẹp, cơ sở vật chất hiện đại, phục vụ nhanh"
Hanh Ho,5 stars,4 months ago,"Nơi khám chữa bệnh tốt, bệnh viện nhiều trang thiết bị hiện đại"
Tai Nguyen,5 stars,4 months ago,"Nhân viên ở đây nhiệt tình, bệnh viện cao cấp có khác"
Châu Dương Huỳnh Ngọc,5 stars,3 months ago,"Trang thiết bị hiện đại, chắc chỉ sau cơ sở mới ở Mỹ Đình"
Ben Khoa,1 star,7 months ago,
Đào Phạm,5 stars,2 months ago,
Hà Trương Thị,5 stars,3 months ago,
Hoàng Trịnh,4 stars,4 weeks ago,Dịch vụ tốt nhưng khá đông vào lúc gần trưa
Hà Lê Hoàng,1 star,7 months ago,
Vân Anh,1 star,9 months ago,
Khanh Mai Hương,5 stars,5 months ago,"Trên cả mong đợi. Bác sỹ tận tình, đã bình phục gần khỏi ;)"
Ngô Đức Huy,1 star,7 months ago,"Thứ tự xếp số quá rối, tiếp đón cực kém. Sẽ không khám ở viện này bất cứ lần nào nữa."
Phạm Phạm,5 stars,4 months ago,
Nguyệt Lê Thị,2 stars,8 months ago,"Dịch vụ tốt nhưng chuyên môn bác sĩ không ổn lắm, đi siêu âm bác sĩ phải hỏi mới ra được hình ảnh, khám nội thì yc xét nghiệm thêm trong khi không có vấn đề gì rất thương mại, chỉ cố vòi tiền bệnh nhân, không xét nghiệm không yên tâm, tư vấn không nhiệt tình, qua loa, hỏi thì gắt nói chung với số tiền bỏ ra để mua dịch vụ chứ chuyên môn không tốt, khám tất qua loa, nên bỏ số tiền đó đi đại học ý còn khám nhanh và kết luận rõ"
Trinh Trương Tú,5 stars,3 months ago,Dịch vụ khám tốt. Chu đáo và sạch sẽ
Hồ Nguyên,5 stars,4 months ago,
Huong Nguyen,1 star,7 months ago,
Trang Phạm,5 stars,2 months ago,"Sạch sẽ, chăm sóc bệnh nhân tốt, nhà hàng rộng rãi"
Minh Tung Vu Le,5 stars,2 months ago,
Thơm Vũ thị,3 stars,3 months ago,
thân triệu,2 stars,6 months ago,
Hùng Trần,1 star,a year ago,"Sạch sẽ. Lễ tân tầng trên thì rất nhiệt tình và lịch sự. Tuy nhiên, Lễ tân tầng dưới khi kiểm tra covid thiếu tôn trọng khách hàng và nói chuyện cộc lốc.
Tay nghề bác sĩ có vẻ chưa ổn lắm. Sau 15 ngày tiểu phẫu từ 25/3/2022 đến 8/4/2022 mà vết mổ càng ngày càng đau và loét. Chỗ tiêm thuốc tê chưa tan và phồng lộp lên"
Hoàng Hoa,5 stars,4 months ago,Nhân viên chăm sóc tốt. Thi thoảng lại qua hỏi thăm tình hình.
Quốc Bảo Đỗ,1 star,a year ago,"Nhân viên thái độ thiếu tôn trọng KH. Thái độ kém xa cả viện công. Mình vừa PCR ở BV phổi tw xong thì bạn NV tư vấn bảo vẫn phải có bản cứng dấu đỏ? Trong khi kết quả của mình đã hiển thị trên website/app của BV Phổi TW, chỉ cần đối chiếu kết quả đó với CMND của mình là xong. Rồi mình hỏi ""em có chắc làm đúng quy trình ko?"" thì NV hùng hổ khẳng định ĐÚNG và ko quên thách thức ""ANH GHI ÂM CHO ĐẦY ĐỦ VÀO!!"" Thất vọng toàn tập với thái độ NV của 1 BV tự nhận là level Qte. Bệnh viện tự phong 5* với công nghệ 4.0 nhưng cách làm và thái độ thì chỉ đáng 0.4.
Không bao giờ tới lần 2. Sai lầm vì đã từng lựa chọn."
Ninh Doan,5 stars,5 months ago,"Đội ngũ y Bác Sỹ có tay nghề chuyên môn cao, rất hài lòng"
Tran Chien,5 stars,4 months ago,"Trang thiết bị vô cùng hiện đại, bệnh viện sạch se"
Quỳnh Phạm,5 stars,3 months ago,
